sector,category,phrase,score
Comm,positive,spectrum auction,1.5
Comm,negative,cord-cutting,-1.5
Comm,neutral,options begin trading,0.0
Comm,positive,5G rollout,1.5
Comm,negative,subscriber loss,-1.5
Comm,neutral,ex-dividend,0.0
Comm,positive,subscriber growth,1.5
Comm,negative,churn,-1.5
Comm,neutral,13F filing,0.0
Comm,positive,broadband expansion,1.5
Comm,negative,capex drag,-1.5
Comm,neutral,analyst blog,0.0
Comm,positive,fiber deployment,1.5
Comm,negative,spectrum cost,-1.5
Comm,neutral,earnings call,0.0
Comm,positive,streaming subscriber,1.5
Comm,negative,debt load,-1.5
Comm,neutral,conference call,0.0
Comm,positive,content deal,1.5
Comm,negative,regulatory probe,-1.5
Comm,neutral,transcript,0.0
Comm,positive,merger synergy,1.5
Comm,negative,antitrust,-1.5
Comm,neutral,watch,0.0
Comm,positive,dividend hike,1.5
Comm,negative,content cost inflation,-1.5
Comm,neutral,to watch,0.0
Comm,positive,cash flow,1.5
Comm,negative,strike,-1.5
Comm,neutral,mover,0.0
Comm,positive,ARPU growth,1.5
Comm,negative,layoffs,-1.5
Comm,neutral,most active,0.0
Comm,positive,network upgrade,1.5
Comm,negative,dividend cut,-1.5
Comm,neutral,volume,0.0
Comm,positive,infrastructure build,1.5
Comm,negative,miss estimates,-1.5
Comm,neutral,ETF inflow,0.0
Comm,positive,oversold,1.5
Comm,negative,weak guidance,-1.5
Comm,neutral,ETF outflow,0.0
Comm,positive,undervalued,1.5
Comm,negative,pricing pressure,-1.5
Comm,neutral,factor-based analysis,0.0
Comm,positive,beat estimates,1.5
Comm,negative,competition intensifies,-1.5
Comm,neutral,quantitative,0.0
Comm,positive,revenue growth,1.5
Comm,negative,saturation,-1.5
Comm,neutral,guru report,0.0
Comm,positive,strong demand,1.5
Comm,negative,slowdown,-1.5
Comm,neutral,comparison,0.0
Comm,positive,partnership,1.5
Comm,negative,network outage,-1.5
Comm,neutral,vs,0.0
Comm,positive,launch,1.5
Comm,negative,data breach,-1.5
Comm,neutral,better buy,0.0
Comm,positive,exclusive rights,1.5
Comm,negative,fine,-1.5
Comm,neutral,oversold territory,0.0
Comm,positive,cord-cutting slows,1.5
Comm,negative,penalty,-1.5
Comm,neutral,oversold (technical),0.0
Comm,positive,rebound,1.5
Comm,negative,steps down,-1.5
Comm,negative,controversy,-1.5
Consumer,positive,same-store sales growth,1.5
Consumer,negative,recall,-1.5
Consumer,neutral,earnings preview,0.0
Consumer,positive,traffic boost,1.5
Consumer,negative,inventory glut,-1.5
Consumer,neutral,earnings call,0.0
Consumer,positive,market share gain,1.5
Consumer,negative,margin compression,-1.5
Consumer,neutral,conference call,0.0
Consumer,positive,brand strength,1.5
