model,headline_id,date,ticker,sector,headline_text,final_label,predicted_label,disagreement_flag,adjudication_note
standard_vader,FLV00002,2/12/20,TMUS,Comm,Here's Why Telecom Infrastructure Stocks Surged on Tuesday,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00003,3/2/20,EA,Comm,"Electronic Arts shares are trading higher, not currently seeing company-specific news. NOTE: Markets continue to be volatile amid the global coronavirus outbreak.",Neutral,Positive,True,"Reviewer 1 (macro/trading desk): EA shares trading higher = positive price action, traded the move. Reviewer 2 (fundamental desk): No company-specific catalyst cited; move is macro-driven coronavirus volatility, not EA-specific. Adjudication: Neutral — headline lacks firm-specific signal, pure market beta."
standard_vader,FLV00004,3/13/20,CMCSA,Comm,TV Networks Face Huge Drop In Key Programming Category: Live Sports,Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00006,3/24/20,TMUS,Comm,Report: Softbank Asset Sales to Include Selling Billions in Alibaba Stock,Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00008,4/27/20,TMUS,Comm,"Verizon, Cox extend customer payment concessions through June due to coronavirus",Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00009,5/23/20,TTWO,Comm,Take-Two Interactive Reports Monster Quarter as It Prepares to Launch Dozens of More Games,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00011,6/3/20,T,Comm,Telus director Stockwell Day steps down after likening racism to childhood bullying,Neutral,Negative,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00013,6/19/20,TMUS,Comm,Deutsche Telekom resilient to coronavirus pandemic - CEO,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00014,7/8/20,T,Comm,AMC Nears Deal to Stave Off Bankruptcy,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00015,7/12/20,T,Comm,3 Moneymaker Stocks to Buy If the Market Crashes,Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00021,10/5/20,T,Comm,3 Dividend Aristocrats That Can Withstand Any Election Volatility,Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00023,10/22/20,T,Comm,"AT&T takes pandemic hit, but surpasses revenue expectations",Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00026,12/14/20,TTWO,Comm,Electronic Arts Outbids Take-Two Interactive for Developer Codemasters in $1.2 Billion Deal,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00029,1/22/21,CMCSA,Comm,Cord-Cutting Will Accelerate in 2021,Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00030,1/25/21,T,Comm,3 High-Yield Dividend Stocks That'll Make You Richer in 2021,Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00031,2/25/21,CMCSA,Comm,"Sky's concerns about O2-Virgin Media merger in UK addressed, says O2 CEO",Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00036,5/12/21,EA,Comm,US STOCKS-Wall St drops as strong inflation data fuels rate hike bets,Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00038,6/1/21,T,Comm,WarnerMedia's CNN plans new streaming service ahead of Discovery merger - WSJ,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00042,7/13/21,T,Comm,3 5G Stocks to Buy in July,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00044,9/8/21,CMCSA,Comm,"NBC fetches $6.5 mln for Super Bowl ads, nearly sells out Beijing Olympics spots",Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00048,10/6/21,TTWO,Comm,Here's Why Electronic Arts Is Outperforming Other Gaming Stocks,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00050,11/30/21,TMUS,Comm,T-Mobile is Now Oversold (TMUS),Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00051,12/6/21,T,Comm,3 Ultra-High-Yield Dividend Stocks to Buy Hand Over Fist in December,Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00054,2/1/22,TTWO,Comm,Video game publisher Electronic Arts lowers annual adjusted sales forecast,Neutral,Negative,True,"Reviewer 1: EA lowering sales forecast = sector-wide demand weakness signal, negative read-through for TTWO/sector. Reviewer 2: EA-specific guidance cut, not indicative of TTWO's own pipeline (competitor-specific). Adjudication: Neutral — idiosyncratic to EA, no read-across to TTWO proven."
standard_vader,FLV00055,2/7/22,TTWO,Comm,Take-Two Interactive Software Inc Q3 Profit Declines,Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00056,2/15/22,T,Comm,Howâ€™s T-Mobile Stock Performing After 2021 Earnings Beat?,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00060,5/10/22,T,Comm,Warner Bros. Discovery: Is This New Entertainment Stock a Good Investment?,Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00062,6/9/22,CMCSA,Comm,"The Zacks Analyst Blog Highlights Mastercard, Comcast, NextEra Energy, Mondelez International, and Freeport-McMoRan",Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00064,8/1/22,T,Comm,4 Dividend Paying Stocks to Buy in August,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00067,9/8/22,TMUS,Comm,T-Mobile (TMUS) Stock Sinks As Market Gains: What You Should Know,Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00068,9/19/22,TTWO,Comm,US STOCKS-Wall Street ends choppy session higher with focus firmly on Fed,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00072,11/15/22,T,Comm,Is Now the Time to Buy AT&T Stock?,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00074,1/27/23,T,Comm,"AT&T Stock Looks Cheap, but There's a Big Problem",Positive,Negative,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00077,3/29/23,T,Comm,Should iShares MSCI USA Value Factor ETF (VLUE) Be on Your Investing Radar?,Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00078,4/17/23,TTWO,Comm,3 Stocks to Buy That Could Be the Next Gaming Phenomenon,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00080,5/4/23,CMCSA,Comm,Hollywood studios push back against striking writers' claim of 'gig' workforce,Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00083,7/7/23,CMCSA,Comm,Add Up The Pieces: CSM Could Be Worth $56,Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00085,7/12/23,T,Comm,"After Hours Most Active for Jul 12, 2023 : AAPL, QQQ, PCG, AMZN, GOOGL, INTC, CMCSA, BP, TFC, KO, T, HBI",Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00086,7/18/23,TMUS,Comm,Will Higher Revenues Augment Nokia's (NOK) Q2 Earnings?,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00088,7/25/23,T,Comm,3 Red Flags for AT&T's Future,Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00089,7/28/23,CMCSA,Comm,Keybanc Maintains Comcast Corp - (CMCSA) Overweight Recommendation,Neutral,Negative,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00091,8/3/23,TTWO,Comm,"Earnings, Inflation Data Make For Volatile Week Ahead",Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00093,8/7/23,T,Comm,3 â€˜Strong Buyâ€™ Stocks You Should Be Loading Up On Now,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00096,10/20/23,TMUS,Comm,Interesting TMUS Put And Call Options For December 15th,Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00098,11/1/23,TTWO,Comm,Analysts Estimate Take-Two Interactive (TTWO) to Report a Decline in Earnings: What to Look Out for,Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00102,2/28/20,NKE,Consumer,NBA Legend Kobe Bryant Reportedly to Be Honored With Special Edition Nike Shoe,Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00104,3/20/20,SBUX,Consumer,Quick-Service Restaurants See an 11% Traffic Boost From Coronavirus,Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00105,3/23/20,DIS,Consumer,Disney Looks to Raise $6 Billion in New Debt,Neutral,Negative,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00107,4/9/20,SBUX,Consumer,Starbucks Expects COVID-19 to Slash Profits in Half,Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00108,4/10/20,DIS,Consumer,"Most Active Equity Options For Midday - Friday, April 10",Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00109,4/10/20,NKE,Consumer,How COVID-19 Is Impacting Traditional and Digital Businesses,Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00110,4/24/20,DIS,Consumer,Virus-hit Madame Tussauds owner raises 500 million euros in bond sale,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00113,5/12/20,DIS,Consumer,Disney Plans Another Bonds Offering With A Six-Part Deal,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00116,6/1/20,WMT,Consumer,"Wall Street closes higher as recovery signs soothe protest, pandemic worries",Positive,Negative,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00118,6/24/20,WMT,Consumer,Should You Buy Fastly Stock Now?,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00120,7/2/20,KO,Consumer,"U.S. Supreme Court takes up Nestle, Cargill appeals over human rights claims",Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00121,7/9/20,DIS,Consumer,Watch These 2 Sport Stocks Closely in July,Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00126,9/24/20,DIS,Consumer,Amazon's Fire TV Gets a Makeover to Better Compete With Roku,Negative,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00133,1/5/21,NKE,Consumer,"Forget Under Armour, Nike Is the Better Athletic Apparel Stock",Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00134,2/1/21,WMT,Consumer,7 Blue Chip Stocks to Help Prepare For Your Retirement,Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00135,2/27/21,DIS,Consumer,Buffett and His Proteges Take Opposite Sides in the 5G Wars,Neutral,Negative,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00136,3/1/21,KO,Consumer,7 Safe Stocks You Can Hold Onto Forever,Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00149,10/14/21,WMT,Consumer,"U.S. Senator Warren urges Amazon breakup, India retailers want probe after Reuters story",Neutral,Positive,True,Reviewer 1: Anti-trust probes against Amazon = relative win for WMT (market-share gain narrative). Reviewer 2: Regulatory overhang is sector-wide risk; WMT not immune to probe spillover or margin pressure. Adjudication: Neutral — regulatory headline benefits no single player definitively.
standard_vader,FLV00153,1/21/22,DIS,Consumer,NFLX Stock Price Predictions: Where Will Netflix Go After Major Earnings Plunge?,Negative,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00154,1/29/22,NKE,Consumer,2 Reasons to Buy Roblox Stock,Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00159,5/18/22,KO,Consumer,"Have $1,000? 2 Warren Buffett Stocks to Buy",Positive,Neutral,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00160,6/7/22,DIS,Consumer,"Disney Stock: ""This Is Where the Fun Begins""",Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00162,7/12/22,KO,Consumer,"Top Stock Reports for Coca-Cola, Merck & Toyota Motor",Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
standard_vader,FLV00165,7/25/22,WMT,Consumer,"Top Stock Reports for Amazon.com, Walmart & Bank of America",Neutral,Positive,False,Unanimous: reviewer 1 and reviewer 2 agree.
