page,panel,displayed_metric,source_csv,source_column,filter,calculation,formatting_rule,verification_status
Overview,Selected fund KPI,Annualised return,results/tables/performance_metrics.csv,annualised_return,"fund = selected fund","Direct lookup from selected fund row",Percentage with two decimal places,Verified
Overview,Selected fund KPI,Annualised volatility,results/tables/performance_metrics.csv,annualised_volatility,"fund = selected fund","Direct lookup from selected fund row",Percentage with two decimal places,Verified
Overview,Selected fund KPI,Sharpe ratio,results/tables/performance_metrics.csv,sharpe_ratio,"fund = selected fund","Direct lookup from selected fund row",Two decimal places,Verified
Overview,Selected fund KPI,Maximum drawdown,results/tables/performance_metrics.csv,maximum_drawdown,"fund = selected fund","Direct lookup from selected fund row",Percentage with two decimal places,Verified
Overview,Compact growth chart,Growth of $1 comparison,results/data/fund_returns.csv,"date,fund,growth_of_1","fund in selected comparison set","Pivot by date and plot growth_of_1",Line chart values from raw decimal series,Verified
Overview,Risk-return chart,Risk-return positions,results/tables/performance_metrics.csv,"annualised_return,annualised_volatility,sharpe_ratio","all ten funds","Scatter plot across all funds",Return and volatility shown as percentages with two decimals in hover,Verified
Compare Funds,Comparison table,Annualised return,results/tables/performance_metrics.csv,annualised_return,"family and method filters","Direct lookup for filtered funds",Percentage with two decimal places,Verified
Compare Funds,Comparison table,Annualised volatility,results/tables/performance_metrics.csv,annualised_volatility,"family and method filters","Direct lookup for filtered funds",Percentage with two decimal places,Verified
Compare Funds,Comparison table,Sharpe ratio,results/tables/performance_metrics.csv,sharpe_ratio,"family and method filters","Direct lookup for filtered funds",Two decimal places,Verified
Compare Funds,Comparison table,Maximum drawdown,results/tables/performance_metrics.csv,maximum_drawdown,"family and method filters","Direct lookup for filtered funds",Percentage with two decimal places,Verified
Compare Funds,Comparison table,Ending value,results/tables/performance_metrics.csv,ending_value,"family and method filters","Direct lookup for filtered funds",Two decimal places,Verified
Compare Funds,Comparison table,Turnover,results/tables/performance_metrics.csv,total_turnover,"family and method filters","Direct lookup for filtered funds",Two decimal places,Verified
Compare Funds,Comparison table,Transaction cost assumption,results/tables/performance_metrics.csv,transaction_cost_bps,"family and method filters","Direct lookup for filtered funds",Whole-number basis points,Verified
